complex_id	proteins
569	P04806 P04807 P17709
570	O13525 P27680 P53318
571	P14693 P50110 P53969
572	P00424 P00427 P07255
573	P38969 P40990 P53239
574	P14693 P50110 P53969
575	P16661 P38179 P53954
576	P32804 P34240 Q12436
577	P11412 P46367 P54115
578	P00424 P00427 P07255
579	P16661 P38179 P53954
580	P32804 P34240 Q12436
581	P11412 P46367 P54115
582	P22354 P38064 Q06090
583	P22135 P40491 Q03028
584	O13525 P27680 P53318
585	P15367 Q04969 Q12133
586	P14693 P50110 P53969
587	P22135 P40491 Q03028
588	P15367 Q04969 Q12133
589	O13525 P27680 P53318
590	P15367 Q04969 Q12133
591	P22135 P40491 Q03028
592	O13525 P27680 P53318
593	P00424 P00427 P07255
594	P32804 P34240 Q12436
595	P38969 P40990 P53239
596	O13525 P27680 P53318
597	P11412 P46367 P54115
598	O13525 P27680 P53318
599	P00424 P00427 P07255
600	P16661 P38179 P53954
601	P15367 Q04969 Q12133
602	P16661 P38179 P53954
603	P14693 P50110 P53969
604	P22135 P40491 Q03028
605	P00424 P00427 P07255
606	P11412 P46367 P54115
607	P32791 P35192 P36033
608	P15367 Q04969 Q12133
609	P11412 P46367 P54115
610	P22135 P40491 Q03028
611	O13525 P27680 P53318
612	P16661 P38179 P53954
613	P35734 P36162 Q03954 Q12248
614	P15367 Q04969 Q12133
615	O13525 P27680 P53318
616	P14693 P50110 P53969
617	P11412 P46367 P54115
618	P00424 P00427 P07255
619	P00424 P00427 P07255
620	P04806 P04807 P17709
621	O13525 P27680 P53318
622	P00424 P00427 P07255
623	P15367 Q04969 Q12133
624	P22135 P40491 Q03028
625	P00424 P00427 P07255
626	P22354 P38064 Q06090
627	P38969 P40990 P53239
628	P35734 P36162 Q03954 Q12248
629	P32804 P34240 Q12436
630	P14693 P50110 P53969
631	P15367 Q04969 Q12133
632	P32804 P34240 Q12436
633	P14693 P50110 P53969
634	P00424 P00427 P07255
635	P16661 P38179 P53954
636	P04806 P04807 P17709
637	P32791 P35192 P36033
638	P15367 Q04969 Q12133
639	P16661 P38179 P53954
640	P14693 P50110 P53969
641	P35734 P36162 Q03954 Q12248
642	P11412 P46367 P54115
643	P16661 P38179 P53954
644	P38969 P40990 P53239
645	P38969 P40990 P53239
646	P22135 P40491 Q03028
647	P15367 Q04969 Q12133
648	P11412 P46367 P54115
649	P15367 Q04969 Q12133
650	O13525 P27680 P53318
651	P00424 P00427 P07255
652	P16661 P38179 P53954
653	P15367 Q04969 Q12133
654	P16661 P38179 P53954
655	P32791 P35192 P36033
656	P32804 P34240 Q12436
657	P15367 Q04969 Q12133
658	P16661 P38179 P53954
659	P32804 P34240 Q12436
660	O13525 P27680 P53318
661	P11412 P46367 P54115
662	P32791 P35192 P36033
663	P22354 P38064 Q06090
664	P11412 P46367 P54115
665	P11412 P46367 P54115
666	P32791 P35192 P36033
667	P15367 Q04969 Q12133
668	P04806 P04807 P17709
669	P04806 P04807 P17709
670	P00424 P00427 P07255
671	P32804 P34240 Q12436
672	P38969 P40990 P53239
673	P16661 P38179 P53954
674	P43124 Q05541 Q07913
675	P16661 P38179 P53954
676	P11412 P46367 P54115
677	P15367 Q04969 Q12133
678	P04806 P04807 P17709
679	P38969 P40990 P53239
680	P16661 P38179 P53954
681	P14693 P50110 P53969
682	P16661 P38179 P53954
